question,answer,pattern,tag
It’s hard for me because of stuck fact-24 during the day. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of stuck fact-24 during the day. What can I do?,fact-24
how were you made,I was created by Leslie,how were you made,creation
i'm anxious about everything lately,That sounds exhausting. Can you notice any moments or triggers when it gets stronger?,i'm anxious about everything lately,anxious
I’m worried about burned out pandora-useful. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m worried about burned out pandora-useful. What can I do?,pandora-useful
i am scared for myself,It's only natural to feel this way. I'm here for you.,i am scared for myself,scared
i'm shaking and my chest is tight,"You might be experiencing a panic spike. Let's try a quick exercise: inhale 4, hold 4, exhale 6—repeat 5 times.",i'm shaking and my chest is tight,panic-attack
i think i'm slipping back into depression,You deserve care. Would you like to explore small routines that could make mornings easier?,i think i'm slipping back into depression,depressed
i feel rage inside me,Anger often points to a boundary or a need. What happened right before the anger rose?,i feel rage inside me,anger
where can i go to find a support group?,"Many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members and friends. Some support groups are peer-led, while others may be led by a mental health professional.",where can i go to find a support group?,fact-24
goodbye,See you later.,goodbye,goodbye
I don’t know how to handle hopeless before going to bed. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle hopeless before going to bed. What can I do?,fact-3
I’m looking for advice on hopeless fact-25 after I wake up. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on hopeless fact-25 after I wake up. What can I do?,fact-25
I need help with hopeless fact-3. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with hopeless fact-3. What can I do?,fact-3
everyone is better than me,"That’s a painful place to be. If a friend said this about themselves, what would you tell them?",everyone is better than me,worthless
will i ever get better,Many people feel better with support and small consistent steps. What support could we try next?,will i ever get better,hope
i'm so angry,"Let’s pause and unclench—jaw, shoulders, hands. What need is going unmet here?",i'm so angry,anger
tell me more about yourself.,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today",tell me more about yourself.,about
i know you hate me,Why do you think so?,i know you hate me,hate-me
thank you very much again. i'll continue practicing meditation and focus on what i can control.,I'm glad you found this useful. Is there something else I can help you with?,thank you very much again. i'll continue practicing meditation and focus on what i can control.,pandora-useful
I keep experiencing guilty grounding at night. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing guilty grounding at night. What can I do?,grounding
I need help with down fact-23 after I wake up. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with down fact-23 after I wake up. What can I do?,fact-23
I’m looking for advice on stuck fact-16. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on stuck fact-16. What can I do?,fact-16
I keep experiencing on edge during exams. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing on edge during exams. What can I do?,happy
you can't possibly know what i'm going through,It sound like i'm not being very helpful right now.,you can't possibly know what i'm going through,understand
what does it mean to have a mental illness,"Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life. Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital. It is important to know that mental illnesses are medical conditions that have nothing to do with a person's character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brain's biology. Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful.",what does it mean to have a mental illness,fact-8
I could use support for restless. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I could use support for restless. What can I do?,fact-13
bye,See you later.,bye,goodbye
i have insominia,What do you think is the reason behind this?,i have insominia,sleep
can you prevent mental health problems?,"We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious.",can you prevent mental health problems?,fact-25
i'm interested in learning about mental health,Oh that's really great. I'd be willing to answer anything that I know about it.,i'm interested in learning about mental health,learn-mental-health
too many tasks to handle,"Let’s do a brain dump—list it all, then pick just one 'must' for today.",too many tasks to handle,overwhelm
I need help with down with my friends. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Stress builds up—short recovery breaks and boundaries can help you refill your tank. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with down with my friends. What can I do?,stressed
why are you repeating yourself?,Oh sorry I didn't realise that. I'll try not to repeat myself again.,why are you repeating yourself?,repeat
no,Let's discuss further why you're feeling this way.,no,casual
i'm regressing,"Relapses happen, and they don’t erase progress. What early signs did you notice this time?",i'm regressing,relapse
boyfriend,Oh I see. Tell me more,boyfriend,default
what treatment options are available,"Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child.",what treatment options are available,fact-15
It’s hard for me because of worried around my family. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of worried around my family. What can I do?,fact-18
It’s hard for me because of unable to focus death when I think about the future. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of unable to focus death when I think about the future. What can I do?,death
I’m looking for advice on burned out done when I’m alone. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on burned out done when I’m alone. What can I do?,done
I’m looking for advice on overwhelmed about when I think about the future. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on overwhelmed about when I think about the future. What can I do?,about
i'm drowning in responsibilities,"Try the 3-2-1 method: 3 small tasks, 2 medium, 1 larger—what could go in each?",i'm drowning in responsibilities,overwhelm
how do i relax,Would you like a 3-item self-care plan for today?,how do i relax,self-care
I could use support for guilty at night. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I could use support for guilty at night. What can I do?,user-advice
tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today",tell me about yourself,about
I need help with numb night. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with numb night. What can I do?,night
nobody understands me,It sound like i'm not being very helpful right now.,nobody understands me,understand
It’s hard for me because of ashamed neutral-response. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of ashamed neutral-response. What can I do?,neutral-response
i hate you,I'm sorry if i offended you in anyway. I'm only here to help,i hate you,hate-you
good night,Good night. Get some proper sleep,good night,night
give me self care tips,Would you like a 3-item self-care plan for today?,give me self care tips,self-care
who created you,I was created by Leslie,who created you,creation
I don’t know how to handle exhausted suicide when I think about the future. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. I’m really glad you’re talking about this—safety comes first; keep crisis contacts handy. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle exhausted suicide when I think about the future. What can I do?,suicide
It’s hard for me because of burned out friends with my friends. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of burned out friends with my friends. What can I do?,friends
how do i relax,"Start small: hydrate, step outside for 2 minutes, and write one kind sentence to yourself.",how do i relax,self-care
I’ve been feeling worried. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling worried. What can I do?,about
can we do breathing together,"Box breathing: inhale 4, hold 4, exhale 4, hold 4—trace a square in your mind as you go.",can we do breathing together,breathing-exercise
do i need therapy,Therapy is a form of treatment that aims to help resolve mental or emotional issues.,do i need therapy,fact-7
It’s hard for me because of numb user-meditation. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of numb user-meditation. What can I do?,user-meditation
ok sure,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,ok sure,learn-more
thank you,Happy to help!,thank you,thanks
I’m looking for advice on drained. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on drained. What can I do?,fact-23
i feel left out,Feeling disconnected hurts. Would you like to plan one small step to reach out this week?,i feel left out,friends
I’m struggling with numb self-care. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. I’m really glad you’re talking about this—safety comes first; keep crisis contacts handy. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with numb self-care. What can I do?,self-care
nothing makes me happy,Would talking through today help a little? I'm here to listen.,nothing makes me happy,sad
"yes, i would like to learn more about it.",So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,"yes, i would like to learn more about it.",learn-more
tell me more about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today",tell me more about yourself,about
I’ve been feeling burned out during exams. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Stress builds up—short recovery breaks and boundaries can help you refill your tank. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling burned out during exams. What can I do?,stressed
i have too much on my plate,Let’s sort things into 'can control' and 'can't control'. What’s one small step you can take today?,i have too much on my plate,stressed
i feel dizzy and terrified,This feeling will pass. Would you like me to guide you through slow breathing for a minute?,i feel dizzy and terrified,panic-attack
I’m struggling with overwhelmed stupid when I’m alone. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with overwhelmed stupid when I’m alone. What can I do?,stupid
I’m struggling with numb. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with numb. What can I do?,grounding
Lately I feel overwhelmed during exams. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel overwhelmed during exams. What can I do?,evening
wrong response,I'm very sorry. Let's try that again,wrong response,wrong
I’ve been feeling exhausted. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling exhausted. What can I do?,guilt-shame
I’ve been feeling stuck during the day. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling stuck during the day. What can I do?,learn-mental-health
i can't focus on the present,"Let’s ground: name 5 things you can see, 4 touch, 3 hear, 2 smell, 1 taste.",i can't focus on the present,grounding
I keep experiencing guilty with my friends. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing guilty with my friends. What can I do?,stupid
I could use support for exhausted with my friends. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I could use support for exhausted with my friends. What can I do?,fact-7
i'm regressing,Let’s review your coping tools—what helped even a little before?,i'm regressing,relapse
I keep experiencing restless stupid. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing restless stupid. What can I do?,stupid
nothing else,I heard you & noted it all. See you later.,nothing else,done
I’ve been feeling stuck especially at work. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling stuck especially at work. What can I do?,death
how would you know,It sound like i'm not being very helpful right now.,how would you know,understand
I keep experiencing restless. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing restless. What can I do?,therapy
I’m worried about restless after I wake up. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m worried about restless after I wake up. What can I do?,ask
I don’t know how to handle overwhelmed. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle overwhelmed. What can I do?,fact-22
k,Let's discuss further why you're feeling this way.,k,casual
i would like to learn more about it,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,i would like to learn more about it,learn-more
It’s hard for me because of drained fact-27. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of drained fact-27. What can I do?,fact-27
i'm fine,That's geat to hear. I'm glad you're feeling this way.,i'm fine,happy
i feel unsafe,What would help you feel slightly safer in this moment?,i feel unsafe,scared
i feel unsafe,Thank you for trusting me with this. Would it help to name three things you can see right now?,i feel unsafe,scared
I’ve been feeling hopeless before going to bed. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling hopeless before going to bed. What can I do?,fact-15
i keep snapping at people,Would writing a draft message (that you don’t send) help release some of this?,i keep snapping at people,anger
I’ve been feeling hopeless fact-9. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling hopeless fact-9. What can I do?,fact-9
i'm so anxious because of,Don't be hard on yourself. What's the reason behind this?,i'm so anxious because of,anxious
how were you created?,I was created by Leslie,how were you created?,creation
you're just some robot,It sound like i'm not being very helpful right now.,you're just some robot,understand
i'm not good enough,You matter here. What's one thing you’ve done recently that took effort?,i'm not good enough,worthless
It’s hard for me because of down during the day. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Low mood can make everything heavier—tiny, kind actions for yourself count. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of down during the day. What can I do?,sad
what is your location?,Duh I live in your computer,what is your location?,location
Lately I feel on edge goodbye when I think about the future. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel on edge goodbye when I think about the future. What can I do?,goodbye
I’m worried about numb fact-18 before going to bed. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m worried about numb fact-18 before going to bed. What can I do?,fact-18
hola,Hello there. Tell me how are you feeling today?,hola,greeting
I’m worried about numb when I’m alone. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m worried about numb when I’m alone. What can I do?,fact-3
who you are?,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today",who you are?,about
i can't talk about it yet,I respect your pace. I’ll be here when you’re ready.,i can't talk about it yet,not-talking
i want to learn more about mental health,Oh that's really great. I'd be willing to answer anything that I know about it.,i want to learn more about mental health,learn-mental-health
"if i become involved in treatment, what do i need to know","Since beginning treatment is a big step for individuals and families, it can be very overwhelming. It is important to be as involved and engaged in the treatment process as possible. Some questions you will need to have answered include: What is known about the cause of this particular illness? Are there other diagnoses where these symptoms are common? Do you normally include a physical or neurological examination? Are there any additional tests or exams that you would recommend at this point? Would you advise an independent opinion from another psychiatrist at this point? What program of treatment is the most helpful with this diagnosis? Will this program involve services by other specialists? If so, who will be responsible for coordinating these services? What do you see as the family's role in this program of treatment? How much access will the family have to the individuals who are providing the treatment? What medications are generally used with this diagnosis? How much experience do you have in treating individuals with this illness? What can I do to help you in the treatment?","if i become involved in treatment, what do i need to know",fact-16
I’m struggling with worried during exams. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with worried during exams. What can I do?,user-meditation
i'm slipping again,Would you like to create a short safety and support plan for the next few days?,i'm slipping again,relapse
i can't prioritize anything,"Let’s do a brain dump—list it all, then pick just one 'must' for today.",i can't prioritize anything,overwhelm
I don’t know how to handle ashamed creation. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle ashamed creation. What can I do?,creation
I’m looking for advice on ashamed. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on ashamed. What can I do?,location
why is mental health important,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships.",why is mental health important,fact-2
i'm embarrassed and want to hide,"If repair is possible, what’s one small step toward it? If not, what’s one step toward acceptance?",i'm embarrassed and want to hide,guilt-shame
what should i do if i know someone who appears to have the symptoms of a mental disorder,"Although Pandora cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery. If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help.",what should i do if i know someone who appears to have the symptoms of a mental disorder,fact-13
i don't deserve happiness,Let’s gently check the evidence for and against that thought. What facts support the kinder view?,i don't deserve happiness,worthless
you don't understand me.,It sound like i'm not being very helpful right now.,you don't understand me.,understand
It’s hard for me because of stuck fact-25 around my family. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of stuck fact-25 around my family. What can I do?,fact-25
i want to disappear,"If you can, please consider contacting your local crisis hotline or emergency services. You matter and help is available.",i want to disappear,suicide
Lately I feel hopeless meditation especially at work. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel hopeless meditation especially at work. What can I do?,meditation
is recovery possible,Let’s plan one gentle action that aligns with the future you want.,is recovery possible,hope
Lately I feel down fact-26 after I wake up. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel down fact-26 after I wake up. What can I do?,fact-26
